DistrictID,DivisionID,DistrictName,BanglaDistrictName,CompanyID,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,RowVersion
1,40,BAGERHAT,1,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
3,20,BANDARBAN,3,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
4,10,BARGUNA,4,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
6,10,BARISAL,6,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
9,10,BHOLA,9,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
10,50,BOGRA,10,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
12,20,BRAHMANBARIA,12,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
13,20,CHANDPUR,13,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
15,20,CHITTAGONG,15,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
18,40,CHUADANGA,18,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
19,20,COMILLA,19,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
22,20,COXS BAZAR,22,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
26,30,DHAKA,26,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
27,55,DINAJPUR,27,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
29,30,FARIDPUR,29,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
30,20,FENI,30,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
32,55,GAIBANDHA,32,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
33,30,GAZIPUR,33,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
35,30,GOPALGANJ,35,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
36,60,HABIGANJ,36,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
38,50,JOYPURHAT,38,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
39,30,JAMALPUR,39,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
41,40,JESSORE,41,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
42,10,JHALOKATI,42,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
44,40,JHENAIDAH,44,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
46,20,KHAGRACHHARI,46,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
47,40,KHULNA,47,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
48,30,KISHOREGONJ,48,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
49,55,KURIGRAM,49,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
50,40,KUSHTIA,50,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
51,20,LAKSHMIPUR,51,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
52,55,LALMONIRHAT,52,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
54,30,MADARIPUR,54,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
55,40,MAGURA,55,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
56,30,MANIKGANJ,56,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
57,40,MEHERPUR,57,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
58,60,MAULVIBAZAR,58,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
59,30,MUNSHIGANJ,59,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
61,30,MYMENSINGH,61,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
64,50,NAOGAON,64,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
65,40,NARAIL,65,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
67,30,NARAYANGANJ,67,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
68,30,NARSINGDI,68,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
69,50,NATORE,69,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
70,50,CHAPAI NABABGANJ,70,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
72,30,NETRAKONA,72,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
73,55,NILPHAMARI ZILA,73,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
75,20,NOAKHALI,75,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
76,50,PABNA,76,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
77,55,PANCHAGARH,77,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
78,10,PATUAKHALI,78,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
79,10,PIROJPUR,79,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
81,50,RAJSHAHI,81,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
82,30,RAJBARI,82,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
84,20,RANGAMATI,84,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
85,55,RANGPUR,85,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
86,30,SHARIATPUR,86,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
87,40,SATKHIRA,87,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
88,50,SIRAJGANJ,88,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
89,30,SHERPUR,89,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
90,60,SUNAMGANJ,90,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
91,60,SYLHET,91,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
93,30,TANGAIL,93,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
94,55,THAKURGAON,94,nagad,3,58:07.4,10.220.2.86,NULL,NULL,NULL,1
